backstory,block_size,bonus_rate,color_cue,condition,counter,cue_colors,cue_counter,cue_within,fixed_blocks,show_feedback,wall_cue,pid
False,12,0,background,16,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,99
False,12,0,background,14,1,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,False,False,100
False,12,0,background,19,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,True,False,101
False,12,0,background,15,1,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,102
False,12,0,background,18,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,False,False,103
False,12,0,background,10,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,104
False,12,0,background,17,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,105
False,12,0,background,8,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,False,False,106
False,12,0,background,16,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,107
False,12,0,background,16,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,108
False,12,0,background,0,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,False,False,109
False,12,0,background,1,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,True,False,110
False,12,0,background,11,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,111
