key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,1335.0,612712.0,73.0,text,23
32.0,344.0,665062.0,87.0,text,23
32.0,1082.0,862522.0,101.0,text,23
32.0,949.0,921999.0,115.0,text,23
32.0,776.0,972684.0,129.0,text,23
32.0,627.0,1017790.0,142.0,text,23
32.0,900.0,1068595.0,157.0,text,23
32.0,3701.0,3707.0,0.0,text,24
32.0,704.0,710.0,0.0,text,24
32.0,1329.0,3081.0,1.0,text,24
81.0,5383.0,9468.0,2.0,text,24
81.0,16611.0,37096.0,4.0,text,24
32.0,1069.0,46685.0,6.0,text,24
32.0,3348.0,3350.0,0.0,text,25
32.0,27409.0,31763.0,1.0,text,25
81.0,109907.0,142675.0,2.0,text,25
81.0,16291.0,196045.0,4.0,text,25
32.0,2614.0,216376.0,6.0,text,25
32.0,15017.0,284082.0,16.0,text,25
32.0,1006.0,286092.0,17.0,text,25
32.0,2963.0,352309.0,31.0,text,25
32.0,1293.0,406111.0,45.0,text,25
32.0,1537.0,463616.0,59.0,text,25
32.0,1722.0,519146.0,73.0,text,25
32.0,1181.0,577912.0,87.0,text,25
32.0,1233.0,639745.0,101.0,text,25
32.0,974.0,714234.0,115.0,text,25
32.0,1241.0,784950.0,129.0,text,25
32.0,980.0,865762.0,142.0,text,25
32.0,1141.0,937398.0,157.0,text,25
32.0,2778.0,2781.0,0.0,text,26
32.0,32403.0,36192.0,1.0,text,26
81.0,40229.0,77424.0,2.0,text,26
32.0,3428.0,99218.0,4.0,text,26
32.0,4011.0,169718.0,14.0,text,26
32.0,1036.0,171758.0,15.0,text,26
32.0,6226.0,227138.0,29.0,text,26
32.0,11289.0,288622.0,43.0,text,26
32.0,2137.0,328418.0,57.0,text,26
32.0,1690.0,376185.0,71.0,text,26
32.0,104.0,418774.0,85.0,text,26
32.0,2336.0,479526.0,99.0,text,26
32.0,1996.0,529123.0,113.0,text,26
32.0,2036.0,599855.0,127.0,text,26
32.0,2147.0,672346.0,140.0,text,26
32.0,1378.0,748217.0,155.0,text,26
32.0,3166.0,3170.0,0.0,text,27
32.0,12478.0,16669.0,1.0,text,27
81.0,26770.0,44456.0,2.0,text,27
81.0,40295.0,123835.0,4.0,text,27
32.0,5038.0,166774.0,6.0,text,27
32.0,8478.0,247444.0,16.0,text,27
32.0,1367.0,249814.0,17.0,text,27
32.0,2240.0,322910.0,31.0,text,27
32.0,825.0,390833.0,45.0,text,27
32.0,5477.0,471537.0,59.0,text,27
32.0,1018.0,549281.0,73.0,text,27
32.0,896.0,628036.0,87.0,text,27
32.0,853.0,709139.0,101.0,text,27
32.0,886.0,794616.0,115.0,text,27
32.0,926.0,888070.0,129.0,text,27
32.0,1780.0,976658.0,142.0,text,27
32.0,5041.0,1046890.0,157.0,text,27
32.0,7483.0,7486.0,0.0,text,28
32.0,8903.0,17412.0,1.0,text,28
81.0,39651.0,58071.0,2.0,text,28
32.0,2111.0,84373.0,4.0,text,28
32.0,3570.0,160413.0,14.0,text,28
32.0,1549.0,162967.0,15.0,text,28
32.0,2776.0,206325.0,29.0,text,28
32.0,1245.0,246713.0,43.0,text,28
32.0,1004.0,285864.0,57.0,text,28
32.0,1030.0,326612.0,71.0,text,28
32.0,4254.0,368520.0,85.0,text,28
32.0,3582.0,409205.0,99.0,text,28
32.0,956.0,460169.0,113.0,text,28
32.0,751.0,495550.0,127.0,text,28
32.0,2686.0,541023.0,140.0,text,28
32.0,1103.0,590423.0,155.0,text,28
32.0,6664.0,6674.0,0.0,text,29
32.0,48536.0,48544.0,1.0,text,29
81.0,76668.0,126229.0,2.0,text,29
32.0,170415.0,170424.0,4.0,text,29
32.0,276936.0,276945.0,14.0,text,29
32.0,281180.0,281189.0,15.0,text,29
32.0,2380.0,2384.0,0.0,text,30
32.0,17806.0,21202.0,1.0,text,30
81.0,13295.0,35503.0,2.0,text,30
81.0,20039.0,75787.0,4.0,text,30
32.0,16285.0,122461.0,6.0,text,30
32.0,9018.0,184358.0,16.0,text,30
32.0,1581.0,186944.0,17.0,text,30
32.0,1245.0,245397.0,31.0,text,30
32.0,3866.0,286095.0,45.0,text,30
32.0,1308.0,327266.0,59.0,text,30
32.0,1351.0,364498.0,73.0,text,30
32.0,1740.0,405875.0,87.0,text,30
32.0,1441.0,449936.0,101.0,text,30
32.0,2646.0,521428.0,115.0,text,30
32.0,1130.0,561491.0,129.0,text,30
32.0,1278.0,595587.0,142.0,text,30
32.0,1000.0,634325.0,157.0,text,30
32.0,2891.0,2895.0,0.0,text,31
32.0,17932.0,21836.0,1.0,text,31
81.0,35057.0,57913.0,2.0,text,31
32.0,2069.0,77759.0,4.0,text,31
32.0,7072.0,130827.0,14.0,text,31
32.0,2298.0,134131.0,15.0,text,31
32.0,2005.0,198726.0,29.0,text,31
32.0,961.0,269545.0,43.0,text,31
32.0,1567.0,336356.0,57.0,text,31
32.0,913.0,406519.0,71.0,text,31
32.0,647.0,475898.0,85.0,text,31
32.0,929.0,549141.0,99.0,text,31
32.0,763.0,627015.0,113.0,text,31
32.0,1021.0,705929.0,127.0,text,31
32.0,2595.0,794794.0,140.0,text,31
32.0,1954.0,856348.0,155.0,text,31
32.0,4598.0,4614.0,0.0,text,32
32.0,2461.0,2465.0,0.0,text,32
32.0,28771.0,28775.0,0.0,text,32
32.0,2139.0,31942.0,1.0,text,32
81.0,4786.0,37751.0,2.0,text,32
81.0,6722.0,79751.0,4.0,text,32
81.0,1263.0,100623.0,6.0,text,32
32.0,60098.0,169578.0,8.0,text,32
32.0,11956.0,269358.0,18.0,text,32
32.0,2258.0,272631.0,19.0,text,32
32.0,2570.0,394002.0,33.0,text,32
32.0,4027.0,490813.0,47.0,text,32
32.0,1535.0,597677.0,61.0,text,32
32.0,4615.0,699261.0,75.0,text,32
32.0,2503.0,805381.0,89.0,text,32
32.0,1504.0,918535.0,103.0,text,32
32.0,1620.0,1025676.0,117.0,text,32
32.0,3744.0,1136385.0,131.0,text,32
32.0,3727.0,1240947.0,144.0,text,32
32.0,7292.0,1342364.0,159.0,text,32
32.0,3408.0,3413.0,0.0,text,33
32.0,13287.0,17715.0,1.0,text,33
81.0,64439.0,83168.0,2.0,text,33
81.0,2087.0,147462.0,4.0,text,33
32.0,2217.0,195348.0,6.0,text,33
32.0,10763.0,263086.0,16.0,text,33
32.0,1240.0,265329.0,17.0,text,33
32.0,1332.0,328017.0,31.0,text,33
32.0,1249.0,391375.0,45.0,text,33
32.0,767.0,450363.0,59.0,text,33
32.0,135.0,509585.0,73.0,text,33
32.0,143.0,570767.0,87.0,text,33
32.0,1524.0,642613.0,101.0,text,33
32.0,520.0,712842.0,115.0,text,33
32.0,792.0,804150.0,129.0,text,33
32.0,3941.0,880957.0,142.0,text,33
32.0,1893.0,928186.0,157.0,text,33
32.0,2703.0,2709.0,0.0,text,34
32.0,10604.0,14347.0,1.0,text,34
81.0,28332.0,43695.0,2.0,text,34
32.0,2042.0,63643.0,4.0,text,34
32.0,8946.0,127276.0,14.0,text,34
32.0,1553.0,129861.0,15.0,text,34
32.0,2596.0,181365.0,29.0,text,34
32.0,1176.0,225139.0,43.0,text,34
32.0,1133.0,269469.0,57.0,text,34
32.0,896.0,311371.0,71.0,text,34
32.0,1061.0,356216.0,85.0,text,34
32.0,958.0,399083.0,99.0,text,34
32.0,1205.0,438308.0,113.0,text,34
32.0,1079.0,474664.0,127.0,text,34
32.0,1335.0,511231.0,140.0,text,34
32.0,1320.0,553748.0,155.0,text,34
32.0,3783.0,3791.0,0.0,text,35
32.0,2313.0,7118.0,1.0,text,35
81.0,24994.0,33117.0,2.0,text,35
32.0,4850.0,155678.0,4.0,text,35
32.0,26302.0,232475.0,14.0,text,35
32.0,845.0,234347.0,15.0,text,35
32.0,886.0,299819.0,29.0,text,35
32.0,946.0,362249.0,43.0,text,35
32.0,36600.0,460922.0,57.0,text,35
32.0,729.0,531128.0,71.0,text,35
32.0,745.0,746085.0,85.0,text,35
32.0,1356.0,819524.0,99.0,text,35
32.0,1006.0,902274.0,113.0,text,35
32.0,495.0,1009826.0,127.0,text,35
32.0,329.0,1093760.0,140.0,text,35
32.0,5140.0,1144912.0,155.0,text,35
32.0,6565.0,6572.0,0.0,text,36
32.0,2945.0,2950.0,0.0,text,36
32.0,748.0,754.0,0.0,text,36
32.0,1633.0,3397.0,1.0,text,36
81.0,4470.0,8874.0,2.0,text,36
81.0,5485.0,23936.0,4.0,text,36
32.0,1058.0,32563.0,6.0,text,36
32.0,173981.0,259958.0,16.0,text,36
32.0,595.0,261574.0,17.0,text,36
32.0,1163.0,326465.0,31.0,text,36
32.0,798.0,393387.0,45.0,text,36
32.0,3376.0,464918.0,59.0,text,36
32.0,7821.0,544738.0,73.0,text,36
32.0,688.0,617680.0,87.0,text,36
32.0,804.0,697125.0,101.0,text,36
32.0,888.0,776559.0,115.0,text,36
32.0,663.0,860695.0,129.0,text,36
32.0,3043.0,946353.0,142.0,text,36
32.0,1502.0,991208.0,157.0,text,36
32.0,2836.0,2841.0,0.0,text,37
32.0,30791.0,34641.0,1.0,text,37
81.0,136066.0,171716.0,2.0,text,37
32.0,4285.0,272991.0,4.0,text,37
32.0,4902.0,353805.0,14.0,text,37
32.0,1379.0,356193.0,15.0,text,37
32.0,823.0,402268.0,29.0,text,37
32.0,673.0,444268.0,43.0,text,37
32.0,837.0,493320.0,57.0,text,37
32.0,576.0,525508.0,71.0,text,37
32.0,260.0,556594.0,85.0,text,37
32.0,573.0,588507.0,99.0,text,37
